,Scores
786,0.08951126418022426
1929,0.08950316930525637
999,0.08948044319472581
91,0.0893154121020201
2472,0.08897077832519673
92,0.08888141644212477
567,0.08873123209214295
2692,0.08866075194736012
1076,0.08838060668269399
845,0.088206271150989
2329,0.08800405186496296
602,0.0879502668700014
2227,0.08784510470706142
913,0.08782287010453316
1592,0.08774288561164445
118,0.08766549745984475
1251,0.08749282472195485
7,0.08704151440242547
884,0.08701403918299944
253,0.08691951564070344
808,0.08681804454582842
169,0.08668149235819311
2311,0.08667717253788187
460,0.08663487855461316
949,0.08642881910551914
2680,0.08620612212585654
133,0.08618530960504378
2719,0.08608548948942762
2089,0.08603222220098106
380,0.0859234062177534
289,0.08574313716906357
855,0.08566678327197574
821,0.08565900068864174
2725,0.08552148105886248
2357,0.08533396544410232
1910,0.08530927421972079
1098,0.08530863072836548
834,0.08530428619338415
669,0.08485788199475608
931,0.08472538608629643
371,0.08468141163562337
2305,0.08428881858316584
1677,0.08405283778836159
1001,0.08386624902046047
1208,0.08382621662830392
34,0.08380412216503319
1146,0.08371750507841602
496,0.08369416624547976
6,0.08335945302841363
450,0.08335402215610888
2679,0.08329541003093333
57,0.08317938303235195
1680,0.08303561002975557
2745,0.08294640842456236
5,0.08286358884214695
1965,0.08285531314811201
1284,0.08280985717076805
660,0.08277724080143045
2809,0.08276841386461875
2718,0.08263437248734196
2492,0.08249229746520181
1317,0.08246614836266275
1690,0.08239707444838751
976,0.08239181769390491
1586,0.08238746612298997
1816,0.08230792423385092
2370,0.08230013127848768
847,0.08228749595760076
860,0.08205108959745844
2423,0.08167970547405279
896,0.0812926104135967
2281,0.08113252361108136
2225,0.08090714556311629
431,0.08086976922294009
673,0.08068246901274301
612,0.08056138347956954
2199,0.08045786550917855
1875,0.08035793585208095
892,0.0803321928355325
1669,0.08001477643451049
1022,0.0798760470489519
2717,0.07973042084055781
2432,0.07959262456963434
1989,0.07939082012479592
1643,0.0793478295756136
2246,0.07932721018812128
1069,0.07920133881147517
680,0.07914165956419406
1683,0.07899049988559725
2126,0.07885767255316423
503,0.07884228501124513
1585,0.07877648857857578
1434,0.07870068804611874
1029,0.078643219943759
2057,0.07857196745146755
1878,0.07854711584146279
2343,0.07846340188313627
1659,0.0783647296002532
872,0.07828697875894108
657,0.07816998265473218
2739,0.07814301587080008
446,0.07800913747995519
1767,0.07769100761074221
1655,0.07736464116672837
1260,0.0772929929632995
2049,0.07720360823008621
482,0.07711803866935196
1704,0.07698334102826054
1964,0.07695407562263212
113,0.0768844043039365
1089,0.07685357065256215
1122,0.07678578595474561
759,0.07672016238232504
1225,0.07668009545530041
1660,0.0766571724515197
2489,0.07662909566647658
2456,0.07657875868250152
73,0.07645936401067743
2653,0.07637112029704651
2404,0.07613134917492226
774,0.07600907842881321
745,0.07595197068310022
2075,0.07592821591576548
1629,0.07591201427292504
757,0.07590663569324274
2322,0.0758526792724139
2345,0.07571091363064797
87,0.07565917944578704
302,0.07558563098988524
2724,0.07557084105559064
2317,0.07551066943040396
439,0.07549060297855559
2211,0.0754807834177611
512,0.0754190702800892
585,0.07538453006123036
414,0.07517697316152105
2000,0.07504453208191308
1597,0.07501695943669406
2643,0.07494476474685197
320,0.07489723819932559
1035,0.07485038664473387
1401,0.07476039087052766
2162,0.074612922100467
1092,0.07453407332842077
396,0.07452035313048988
2141,0.07442713915492316
475,0.07426594836174916
499,0.07413421082970229
2636,0.07382890050560076
32,0.07380260327342114
377,0.07378793352325541
16,0.07346639126847831
2080,0.07331637586109352
812,0.07315415070546405
1160,0.0731392369413244
2557,0.0731337364791671
50,0.07308731157051374
1429,0.07307846930625317
1696,0.07291084470519205
2228,0.07286330922267181
2503,0.07258205693522735
2753,0.0724999579196921
1740,0.0723223076832189
117,0.0720874643818119
454,0.07208235142892683
1329,0.07203071995664612
701,0.07180817785020377
2164,0.07180653797509473
2284,0.07179274465365526
2436,0.07179272989647267
730,0.07156827598780846
2285,0.07156761930314293
1503,0.07150268135699589
78,0.07142593590913804
89,0.07136116671433723
2087,0.07131449273402546
2582,0.07122960953169666
1694,0.07112000242054117
693,0.07108983106933131
2428,0.07061254828770047
2241,0.07057004687213375
927,0.07052049201784127
1285,0.07038815142553267
1078,0.07033061963270715
1126,0.0703046075353928
1543,0.07005563673233661
1570,0.0700367280150842
